id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
1199,2023-01-09 05:53:17.247387,7.7,3.8,6.7,2.2,2
1198,2023-01-09 05:53:16.221790,5.7,2.8,4.1,1.3,1
1197,2023-01-09 05:53:15.199058,6.1,2.6,5.6,1.4,2
1196,2023-01-09 05:53:14.180700,6.3,2.8,5.1,1.5,2
1195,2023-01-09 05:53:13.160373,6.2,3.4,5.4,2.3,2
1194,2023-01-09 05:53:12.150907,5.8,2.7,4.1,1.0,1
1193,2023-01-09 05:53:11.129184,5.5,2.3,4.0,1.3,1
1192,2023-01-09 05:53:10.109717,6.3,2.5,4.9,1.5,1
1191,2023-01-09 05:53:09.081477,5.7,2.8,4.5,1.3,1
1190,2023-01-09 05:53:08.061903,5.8,2.7,5.1,1.9,2
1189,2023-01-09 05:53:07.032443,5.0,2.0,3.5,1.0,1
1188,2023-01-09 05:53:06.004717,6.0,2.9,4.5,1.5,1
1187,2023-01-09 05:53:04.980043,7.0,3.2,4.7,1.4,1
1186,2023-01-09 05:53:03.958048,7.1,3.0,5.9,2.1,2
1185,2023-01-09 05:53:02.929985,5.7,2.8,4.1,1.3,1
1184,2023-01-09 05:53:01.903431,6.0,2.2,4.0,1.0,1
1183,2023-01-09 05:53:00.877818,4.8,3.0,1.4,0.1,0
1182,2023-01-09 05:52:59.853159,6.2,3.4,5.4,2.3,2
1181,2023-01-09 05:52:58.825822,6.4,2.8,5.6,2.1,2
1180,2023-01-09 05:52:57.806138,6.1,2.8,4.7,1.2,1
1179,2023-01-09 05:52:56.784277,6.7,3.0,5.2,2.3,2
1178,2023-01-09 05:52:55.762958,6.4,3.1,5.5,1.8,2
1177,2023-01-09 05:52:54.735937,4.9,3.1,1.5,0.2,0
1176,2023-01-09 05:52:53.714269,5.5,3.5,1.3,0.2,0
1175,2023-01-09 05:52:52.690884,6.5,3.0,5.8,2.2,2
1174,2023-01-09 05:52:51.667634,4.6,3.6,1.0,0.2,0
1173,2023-01-09 05:52:50.647076,5.1,3.4,1.5,0.2,0
1172,2023-01-09 05:52:49.623229,6.6,3.0,4.4,1.4,1
1171,2023-01-09 05:52:48.593634,5.8,2.7,5.1,1.9,2
1170,2023-01-09 05:52:47.570119,4.9,3.6,1.4,0.1,0
1169,2023-01-09 05:52:46.544746,5.4,3.0,4.5,1.5,1
1168,2023-01-09 05:52:45.523825,5.0,3.5,1.3,0.3,0
1167,2023-01-09 05:52:44.492260,5.0,3.5,1.3,0.3,0
1166,2023-01-09 05:52:43.471102,6.3,2.5,4.9,1.5,1
1165,2023-01-09 05:52:42.447752,5.0,2.3,3.3,1.0,1
1164,2023-01-09 05:52:41.426595,4.3,3.0,1.1,0.1,0
1163,2023-01-09 05:52:40.402740,6.3,3.3,6.0,2.5,2
1162,2023-01-09 05:52:39.379276,5.1,3.5,1.4,0.2,0
1161,2023-01-09 05:52:38.360321,5.4,3.4,1.7,0.2,0
1160,2023-01-09 05:52:37.335358,5.7,3.8,1.7,0.3,0
1159,2023-01-09 05:52:36.312311,6.0,3.0,4.8,1.8,2
1158,2023-01-09 05:52:35.285907,4.6,3.2,1.4,0.2,0
1157,2023-01-09 05:52:34.261823,5.0,3.4,1.5,0.2,0
1156,2023-01-09 05:52:33.236880,5.8,2.7,5.1,1.9,2
1155,2023-01-09 05:52:32.211105,5.7,2.8,4.5,1.3,1
1154,2023-01-09 05:52:31.184399,5.1,3.4,1.5,0.2,0
1153,2023-01-09 05:52:30.157863,5.6,2.5,3.9,1.1,1
1152,2023-01-09 05:52:29.132496,7.7,2.8,6.7,2.0,2
1151,2023-01-09 05:52:28.110892,6.9,3.1,5.4,2.1,2
1150,2023-01-09 05:52:27.089579,4.4,2.9,1.4,0.2,0
1149,2023-01-09 05:52:26.069596,6.0,3.0,4.8,1.8,2
1148,2023-01-09 05:52:25.044121,4.9,3.1,1.5,0.1,0
1147,2023-01-09 05:52:24.028879,5.7,2.8,4.1,1.3,1
1146,2023-01-09 05:52:22.996760,6.7,3.1,5.6,2.4,2
1145,2023-01-09 05:52:21.976922,6.9,3.1,4.9,1.5,1
1144,2023-01-09 05:52:20.954844,5.2,2.7,3.9,1.4,1
